"State","Year","dem.Count08","gop.Count08","County"
"AL",2008,6093,17403,"Autauga"
"AL",2008,19386,61271,"Baldwin"
"AL",2008,5697,5866,"Barbour"
"AL",2008,2299,6262,"Bibb"
"AL",2008,3522,20389,"Blount"
"AL",2008,4011,1391,"Bullock"
"AL",2008,4188,5485,"Butler"
"AL",2008,16334,32348,"Calhoun"
"AL",2008,6799,8067,"Chambers"
"AL",2008,2306,7298,"Cherokee"
"AL",2008,3674,13960,"Chilton"
"AL",2008,3636,4223,"Choctaw"
"AL",2008,5914,7466,"Clarke"
"AL",2008,1760,4984,"Clay"
"AL",2008,1168,5216,"Cleburne"
"AL",2008,5079,14919,"Coffee"
"AL",2008,9703,14739,"Colbert"
"AL",2008,3429,3470,"Conecuh"
"AL",2008,2273,3248,"Coosa"
"AL",2008,3240,12444,"Covington"
"AL",2008,1938,4319,"Crenshaw"
"AL",2008,5864,28896,"Cullman"
"AL",2008,5270,13886,"Dale"
"AL",2008,13986,6798,"Dallas"
"AL",2008,5658,17957,"DeKalb"
"AL",2008,8301,25777,"Elmore"
"AL",2008,5188,9375,"Escambia"
"AL",2008,13497,30595,"Etowah"
"AL",2008,1994,5883,"Fayette"
"AL",2008,3469,8048,"Franklin"
"AL",2008,2134,9417,"Geneva"
"AL",2008,4408,876,"Greene"
"AL",2008,4982,3200,"Hale"
"AL",2008,3018,5585,"Henry"
"AL",2008,12225,29254,"Houston"
"AL",2008,6374,14083,"Jackson"
"AL",2008,166121,149921,"Jefferson"
"AL",2008,1614,5419,"Lamar"
"AL",2008,13329,24068,"Lauderdale"
"AL",2008,5164,9277,"Lawrence"
"AL",2008,21498,32230,"Lee"
"AL",2008,9536,23598,"Limestone"
"AL",2008,5449,1809,"Lowndes"
"AL",2008,9450,1396,"Macon"
"AL",2008,64117,86965,"Madison"
"AL",2008,5926,5516,"Marengo"
"AL",2008,2600,9536,"Marion"
"AL",2008,7038,25727,"Marshall"
"AL",2008,82181,98049,"Mobile"
