State,County,Dem.04,GOP.04,Dem.08,GOP.08,Dem.12,GOP.12,Dem.16,GOP.16
"NE","Keya Paha",2776,1845,156,1690,2504,1651,2019,1402
"NE","Kimball",1555,485,1798,360,1639,271,1615,1855
"NE","Knox",92,1353,266,1170,55,1267,946,357
"NE","Lancaster",2038,2438,2307,2189,2170,2260,2307,1393
"NE","Lincoln",1950,117,1994,94,1767,61,2112,2254
"NE","Logan",2344,1557,2577,1417,2331,1542,1238,230
"NE","Loup",2365,1383,2646,1316,2214,1280,1377,1686
"NE","Madison",1295,107,1835,1028,1706,1028,1865,1410
"NE","McPherson",1946,1145,1730,2828,1453,2877,390,1141
"NE","Merrick",2588,1226,2800,1012,2672,1079,1129,71
"NE","Morrill",1959,690,2116,656,1804,626,2102,1287
"NE","Nance",1859,270,2096,133,1888,121,1208,730
"NE","Nemaha",70,1148,249,899,85,840,1197,286
"NE","Nuckolls",2067,767,2305,485,2092,557,2392,902
"NE","Otoe",956,2001,1275,1675,1095,1753,1470,674
"NE","Pawnee",1922,2873,1927,2670,1659,2755,802,1927
"NE","Perkins",1143,312,1367,105,1006,167,1190,2859
"NE","Phelps",2581,1666,57,1450,2609,1464,531,233
"NE","Pierce",2083,1254,2538,1019,2244,1196,2043,1631
"NE","Platte",1164,134,1617,2789,1355,2887,1592,1345
"NE","Polk",2090,919,2325,713,2011,775,1105,111
"NE","Red Willow",54,1758,226,1581,2696,1631,1685,876
"NE","Richardson",288,1298,480,990,172,1048,2176,1742
"NE","Rock",292,2518,397,2298,32,2380,2444,1193
"NE","Saline",1036,1356,1170,1038,929,1105,2275,2418
"NE","Sarpy",622,1713,1221,1633,1059,1688,551,1260
"NE","Saunders",1274,2331,1609,2249,1415,2388,1179,1821
"NE","Scotts Bluff",1623,39,1905,2836,1727,2823,1057,2537
"NE","Seward",864,2101,1182,1867,1002,1973,1352,2893
"NE","Sheridan",1773,914,1848,789,1632,854,726,2109
"NE","Sherman",2067,80,2159,2808,2060,2787,1230,975
"NE","Sioux",221,2398,179,2217,8,2288,1439,168
"NE","Stanton",2112,928,2321,689,2190,815,2399,2250
"NE","Thayer",2495,876,2647,668,2403,754,1698,965
"NE","Thomas",2209,1636,2009,1431,1730,1560,1885,863
"NE","Thurston",212,179,123,2838,148,2643,1286,1485
"NE","Valley",2125,721,2400,606,1935,616,2595,16
"NE","Washington",1213,2462,1588,2303,1360,2414,1437,719
"NE","Wayne",62,1319,259,1070,72,1089,1101,2520
"NE","Webster",2103,406,2104,259,1782,309,2477,1191
"NE","Wheeler",2558,1585,2764,1443,2684,1493,1305,366
"NE","York",296,2110,554,1910,336,1928,2136,1612
