State,County,Dem.04,GOP.04,Dem.08,GOP.08,Dem.12,GOP.12,Dem.16,GOP.16
"OK","McIntosh",1832,1911,2142,20,1906,2847,109,1740
"OK","Murray",978,1587,541,1583,487,1562,1451,183
"OK","Muskogee",247,500,135,514,2777,382,97,1734
"OK","Noble",321,1704,185,1632,137,1508,2440,537
"OK","Nowata",564,1244,407,1323,233,1248,2580,1590
"OK","Okfuskee",620,1118,459,1137,239,1006,2348,1441
"OK","Oklahoma",2769,683,168,591,68,504,2632,1243
"OK","Okmulgee",2455,2683,2243,2691,2045,2564,141,458
"OK","Osage",2555,172,2486,240,2307,153,1765,2761
"OK","Ottawa",1984,2525,1768,2387,1508,2330,2018,284
"OK","Pawnee",1113,1841,854,1832,678,1754,1098,2559
"OK","Payne",7,815,69,725,2668,618,345,1893
"OK","Pittsburg",2468,136,2092,195,1903,88,2547,645
"OK","Pontotoc",2003,2848,1842,2844,1649,2747,1545,303
"OK","Pottawatomie",2635,663,2551,686,2392,602,1525,57
"OK","Pushmataha",758,1277,273,1398,44,1357,2101,725
"OK","Roger Mills",1609,394,1254,490,1182,435,2358,1548
"OK","Rogers",192,1099,83,1192,2661,1216,470,564
"OK","Seminole",1552,2165,1302,2109,1125,1937,2430,1357
"OK","Sequoyah",2188,2743,1821,2805,1727,2841,833,2149
"OK","Stephens",2095,381,1846,430,1652,344,1306,116
"OK","Texas",14,2125,2723,2042,2587,1961,1322,460
"OK","Tillman",178,995,45,927,2646,739,2526,1866
"OK","Tulsa",2683,592,2768,560,2546,475,2203,837
"OK","Wagoner",2701,791,2675,906,2469,886,2545,484
"OK","Washington",2381,610,2264,599,2069,560,2233,1012
"OK","Washita",328,1606,59,1575,2540,1507,1911,595
"OK","Woods",2717,1395,2664,1328,2309,1204,2077,1634
"OK","Woodward",416,2289,360,2299,124,2222,1944,1300
"OR","Baker",1141,2305,1225,2117,1003,2155,2540,2311
"OR","Benton",1159,746,1312,513,1203,501,657,2277
"OR","Clackamas",2743,2865,39,2639,2697,2722,1219,337
"OR","Clatsop",42,2707,80,2448,2736,2462,2583,2604
"OR","Columbia",245,217,349,41,177,74,2562,2587
"OR","Coos",405,736,432,520,250,465,2686,327
"OR","Crook",1338,2411,1564,2286,1352,2392,47,718
"OR","Curry",2023,2503,2039,2339,1839,2349,1100,2677
"OR","Deschutes",1372,1776,1641,1637,1504,1704,1728,2471
"OR","Douglas",662,1565,827,1351,593,1344,1665,1794
"OR","Gilliam",1567,2544,1776,2312,1568,2311,378,1473
"OR","Grant",2521,1418,7,1196,2562,1257,915,2308
"OR","Harney",2597,1248,2756,1114,2550,1146,2335,1395
"OR","Hood River",2110,1755,2263,1415,2165,1473,2244,1281
"OR","Jackson",1812,2173,1948,1932,1740,1892,2170,1408
"OR","Jefferson",1416,1926,1580,1787,1403,1856,1761,2059
"OR","Josephine",466,1167,647,969,447,1025,1246,2069
"OR","Klamath",2574,996,2741,772,2533,760,327,1183
"OR","Lake",2547,1347,2762,1134,2460,1233,2293,875
"OR","Lane",84,2536,148,2291,2781,2255,2156,1330
"OR","Lincoln",357,20,421,2699,314,2701,9,2368
"OR","Linn",803,1378,939,1206,789,1258,237,2890
"OR","Malheur",1121,2639,1289,2441,1175,2390,634,1422
"OR","Marion",2157,2444,2237,2181,2049,2196,918,2467
"OR","Morrow",346,1215,406,1071,185,1111,1881,2104
"OR","Multnomah",1131,2871,1220,2492,1132,2477,7,1205
"OR","Polk",485,813,653,684,512,683,1158,2307
"OR","Sherman",1647,2432,1631,2282,1375,2393,516,762
"OR","Tillamook",2354,2447,2402,2148,2227,2151,805,2491
"OR","Umatilla",2659,651,2755,511,2582,544,2042,2338
"OR","Union",1809,2746,1872,2503,1653,2542,2356,655
"OR","Wallowa",258,1380,469,1219,242,1229,1382,2672
"OR","Wasco",2138,2264,2172,1984,1963,2024,111,1253
"OR","Washington",210,81,413,2721,234,2705,1820,2177
"OR","Wheeler",1057,2266,1228,1947,1138,2088,372,2553
"OR","Yamhill",629,1047,866,904,727,940,485,2205
"PA","Adams",358,1255,661,1131,446,1169,714,995
"PA","Allegheny",1564,1207,1594,1166,1498,1142,399,1372
"PA","Armstrong",201,774,114,732,2601,801,1524,1147
"PA","Beaver",1750,1703,1697,1751,1560,1748,2251,998
"PA","Bedford",2213,616,2214,583,1872,620,1294,1864
"PA","Berks",2492,2738,2781,2585,2501,2619,1520,839
"PA","Blair",665,1560,794,1418,491,1387,2364,2808
"PA","Bradford",2627,639,34,492,2551,412,314,1595
"PA","Bucks",547,525,680,491,526,552,2154,738
"PA","Butler",1332,2139,1418,2131,1248,2225,573,632
"PA","Cambria",1421,1490,1429,1394,986,1455,1141,2270
"PA","Cameron",2534,568,2672,339,2324,317,654,1706
"PA","Carbon",219,283,355,313,105,323,1831,529
"PA","Centre",1357,1457,1748,1428,1452,1463,2567,782
"PA","Chester",99,228,386,164,217,284,1530,1514
"PA","Clarion",2219,119,2341,83,1873,21,394,184
"PA","Clearfield",338,866,440,742,109,866,1729,282
"PA","Clinton",2169,2625,2408,2488,2064,2434,2401,1056
"PA","Columbia",73,576,332,436,42,388,1797,2860
"PA","Crawford",526,945,613,872,290,817,2515,698
"PA","Cumberland",1601,2396,1928,2287,1780,2325,25,1058
"PA","Dauphin",2097,2349,2388,2164,2249,2152,1772,2353
"PA","Delaware",542,234,679,173,566,58,2183,2258
"PA","Elk",2328,2612,2443,2344,1979,2461,596,91
"PA","Erie",2362,2194,2501,1964,2269,1864,1526,2861
"PA","Fayette",1283,1103,1126,1122,896,1138,1992,2175
"PA","Forest",2787,545,42,375,2633,410,658,1483
"PA","Franklin",561,1778,881,1719,728,1782,2153,659
"PA","Fulton",431,1930,530,1866,283,1917,624,1968
"PA","Greene",2499,2589,2537,2563,2074,2607,2587,2162
"PA","Huntingdon",2180,246,2320,193,2035,241,1696,55
"PA","Indiana",511,856,627,810,408,905,1785,481
"PA","Jefferson",2223,351,2288,226,1813,278,161,1100
"PA","Juniata",1230,2470,1352,2313,1090,2405,1456,494
"PA","Lackawanna",2197,1859,2340,1654,2200,1503,677,2654
"PA","Lancaster",2465,459,2815,282,2605,347,1932,1917
"PA","Lawrence",873,944,791,923,627,891,2579,424
"PA","Lebanon",667,1608,999,1481,733,1474,380,1123
"PA","Lehigh",2460,2450,2662,2281,2461,2360,663,1647
"PA","Luzerne",2393,2343,2436,2234,2247,2182,2402,2443
"PA","Lycoming",501,1485,714,1321,464,1341,1927,2581
"PA","McKean",2269,105,2292,2767,2008,2829,298,1531
"PA","Mercer",1074,1169,1157,1142,976,1057,1587,143
"PA","Mifflin",1943,200,2069,107,1749,233,647,1332
"PA","Monroe",1229,1235,1664,1216,1441,1102,1501,452
"PA","Montgomery",929,694,1091,605,957,657,1374,1385
"PA","Montour",1169,1968,1477,1846,1330,1875,1058,615
"PA","Northampton",2284,2297,2495,2168,2268,2220,1228,2047
"PA","Northumberland",419,969,426,765,230,753,2209,2465
"PA","Perry",2073,399,2277,324,2048,305,2603,1079
"PA","Philadelphia",2072,327,2184,192,2077,2785,1819,577
"PA","Pike",2636,279,155,270,16,324,2020,75
"PA","Potter",952,2170,982,1985,729,2029,2612,612
"PA","Schuylkill",1288,1556,1238,1456,1045,1403,307,2293
"PA","Snyder",1787,59,2073,2862,1856,6,581,1799
"PA","Somerset",272,1044,295,913,2702,1039,1649,199
"PA","Sullivan",213,867,239,724,29,756,2342,1216
"PA","Susquehanna",2451,181,2611,67,2346,85,2377,1017
"PA","Tioga",2076,231,2276,152,1958,67,1915,377
"PA","Union",2141,35,2447,2856,2188,2875,1527,324
"PA","Venango",2684,453,2725,384,2427,346,2124,84
"PA","Warren",2550,109,2636,2833,2323,2821,2079,553
"PA","Washington",1927,1927,1871,1975,1620,1998,1869,234
"PA","Wayne",2553,384,2805,288,2530,307,1461,2218
"PA","Westmoreland",2516,2,2438,19,2238,41,2178,555
"PA","Wyoming",1960,2588,2192,2408,1902,2277,2094,190
"PA","York",2285,164,2600,106,2399,146,1505,2671
"RI","Providence",411,2664,563,2771,450,2792,2237,298
"RI","Bristol",410,2872,1931,1457,498,2513,430,2757
"RI","Newport",971,619,1101,546,1501,1075,402,2771
"RI","Washington",1498,1184,610,2594,1803,1352,1428,1207
"RI","Kent",1769,1478,1653,1099,996,611,1569,1624
"SC","Abbeville",1797,2121,1863,2262,1807,2219,945,533
"SC","Aiken",781,1671,1140,1749,1016,1716,1550,2393
"SC","Allendale",1113,2870,1336,2806,1438,2751,1073,1858
"SC","Anderson",837,1816,1031,1917,928,1936,1160,2600
"SC","Bamberg",1618,913,1815,973,1834,945,859,2148
"SC","Barnwell",1669,1890,1955,1891,1991,1881,1612,979
"SC","Beaufort",645,1240,1342,1597,1310,1765,1769,1946
"SC","Berkeley",681,1296,1209,1540,1029,1549,1276,1685
"SC","Calhoun",1472,1502,1671,1566,1688,1587,1301,1807
"SC","Charleston",2132,2284,2597,2407,2523,2566,1502,1617
"SC","Cherokee",2304,236,2430,349,2400,373,2566,2540
"SC","Chester",2015,2058,2483,2276,2480,2304,2119,548
"SC","Chesterfield",2332,2476,2542,2634,2494,2682,2208,2495
"SC","Clarendon",2411,2251,2657,2367,2637,2419,2302,2837
"SC","Colleton",2339,2487,2650,2661,2578,2673,2390,2488
"SC","Darlington",184,356,437,442,488,469,2386,2782
"SC","Dillon",1931,1808,2466,2173,2451,2106,377,532
"SC","Dorchester",430,1152,920,1303,993,1417,2069,2154
"SC","Edgefield",1696,2163,2000,2280,1939,2338,1010,1506
"SC","Fairfield",2073,1402,2506,1641,2465,1680,1788,2413
"SC","Florence",871,1219,1222,1299,1254,1270,2267,1694
"SC","Georgetown",41,276,416,554,385,619,1130,1302
"SC","Greenville",2074,104,2407,185,2317,250,330,693
"SC","Greenwood",2657,416,240,635,184,608,2337,285
"SC","Hampton",1709,1237,2149,1484,2127,1441,77,662
"SC","Horry",1301,2010,1644,2310,1552,2374,1934,1503
"SC","Jasper",1612,1300,2075,1452,2104,1733,1537,2675
"SC","Kershaw",2615,417,126,601,79,578,2413,2262
"SC","Lancaster",2410,220,223,598,317,806,39,704
"SC","Laurens",2694,437,66,519,31,489,365,1037
"SC","Lee",1856,1161,2185,1343,2164,1247,2556,654
"SC","Lexington",1099,2383,1460,2487,1469,2552,1936,1242
"SC","Marion",841,874,1203,1039,1149,1072,1482,2613
"SC","Marlboro",1961,1495,2766,2057,2722,2013,1045,1179
"SC","McCormick",1155,1065,2346,1667,2441,1682,2520,2105
"SC","Newberry",1764,2493,2332,2825,2346,2793,2088,1756
"SC","Oconee",2586,761,2754,891,2586,932,2140,3
"SC","Orangeburg",1066,298,1190,234,1340,232,2443,1066
"SC","Pickens",22,1318,178,1413,111,1452,1110,221
"SC","Richland",2312,1919,64,2161,2705,1887,42,1559
"SC","Saluda",904,1525,1456,2002,1431,2019,95,2049
"SC","Spartanburg",1460,2290,1736,2319,1703,2356,1202,2131
"SC","Sumter",705,715,1097,736,1199,804,1647,2557
"SC","Union",1972,2363,2183,2478,2109,2348,1011,785
"SC","Williamsburg",2686,1936,132,1956,129,1930,1844,2450
"SC","York",1037,1869,1616,2064,1626,2215,2684,1936
"SD","Aurora",2251,11,2303,2570,2073,2615,1687,2369
"SD","Beadle",1489,1972,1528,1679,1271,1755,1444,2867
"SD","Bennett",2485,2674,2116,2238,2058,2294,746,1817
"SD","Bon Homme",283,869,373,645,164,743,1686,2375
"SD","Brookings",2078,2562,2428,2304,2131,2283,2284,922
"SD","Brown",2535,40,2703,2586,2405,2657,1880,2396
"SD","Brule",36,524,2773,414,2542,507,1986,2843
"SD","Buffalo",2215,971,1848,539,1867,629,2043,581
"SD","Butte",6,1396,312,1211,1,1349,1277,675
"SD","Campbell",1014,2461,1043,2183,480,2270,2266,1451
"SD","Charles Mix",889,1126,695,888,440,963,63,2446
"SD","Clark",2647,435,2603,71,2388,76,2623,1049
"SD","Clay",1446,1197,1622,968,1304,924,1643,164
"SD","Codington",1921,2587,2121,2288,1830,2383,1103,925
"SD","Corson",2768,2481,2609,2043,2262,2023,1362,2583
"SD","Custer",260,1297,455,1256,318,1346,1969,2214
"SD","Davison",1424,2152,1543,1887,1338,1910,133,1432
"SD","Day",673,624,674,385,453,365,989,2014
"SD","Deuel",2757,410,62,101,2698,220,2664,623
"SD","Dewey",528,2783,337,2333,199,2366,2041,420
"SD","Douglas",1655,565,1762,310,1428,377,2559,2486
"SD","Edmunds",2496,434,2589,237,2220,317,877,389
"SD","Fall River",314,1056,348,991,134,975,1585,478
"SD","Faulk",1739,2819,1766,2473,1426,2555,2470,1112
"SD","Grant",546,1049,675,795,448,867,817,2716
"SD","Gregory",2561,633,2522,427,2168,514,2659,1048
"SD","Haakon",908,10,729,2792,355,2819,1619,607
"SD","Hamlin",12,810,46,610,2672,731,2399,2813
"SD","Hand",2340,478,2424,267,2110,294,2011,888
"SD","Hanson",2467,388,2767,428,2444,606,1424,442
"SD","Harding",2727,2456,359,2145,2539,2312,1721,531
"SD","Hughes",1180,2249,1340,2035,1220,2034,1584,2428
"SD","Hutchinson",180,1291,252,963,2674,1067,1035,2022
"SD","Hyde",1126,2314,965,2072,725,2056,2262,1114
"SD","Jackson",1983,2494,1790,2345,1750,2361,257,2101
"SD","Jerauld",1924,2509,2083,2068,1810,2077,1386,2483
"SD","Jones",327,2172,451,1862,78,1956,1117,2335
"SD","Kingsbury",166,724,287,429,89,476,2259,1830
"SD","Lake",1084,1472,1338,1304,1183,1480,2283,659
"SD","Lawrence",1625,2534,1956,2373,1663,2451,970,1699
"SD","Lincoln",2142,142,2655,200,2499,395,1431,2528
"SD","Lyman",2643,29,2409,2724,2187,2810,2454,568
"SD","McCook",199,848,227,600,2645,624,1540,2871
"SD","McPherson",1565,210,1806,2756,1182,2791,2144,736
"SD","Marshall",101,275,272,2736,61,2743,749,2760
"SD","Meade",1300,2680,1605,2491,1294,2535,2373,78
"SD","Mellette",1540,2147,1593,1804,1579,1619,922,2690
"SD","Miner",2297,2635,2211,2152,1898,2310,1001,1692
"SD","Minnehaha",1414,1844,1677,1646,1493,1692,1203,2451
"SD","Moody",531,714,604,494,400,532,1307,1741
"SD","Pennington",390,1332,672,1186,465,1241,55,687
"SD","Perkins",1739,344,1973,119,1384,249,1052,1067
"SD","Potter",1869,166,1924,2788,1462,33,398,1321
"SD","Roberts",1095,1050,1168,689,972,773,725,379
"SD","Sanborn",2167,2652,1977,2348,1632,2417,882,93
"SD","Shannon",1526,2077,1299,1431,1290,769,492,941
"SD","Spink",434,984,507,608,287,640,1014,2645
"SD","Stanley",1873,152,2010,13,1766,72,2605,774
"SD","Sully",813,2451,998,2163,711,2257,1405,175
"SD","Todd",1104,2748,930,2133,782,1982,364,2403
"SD","Tripp",2768,972,2717,737,2413,791,469,1937
"SD","Turner",553,1362,617,1089,384,1199,1815,903
"SD","Union",1327,1699,1428,1758,1216,1893,2651,1294
"SD","Walworth",2650,821,2723,614,2311,680,926,2053
"SD","Yankton",1759,2244,1929,1966,1732,2100,1803,797
"SD","Ziebach",2297,1857,2107,1362,1778,1385,1408,2157
"TN","Anderson",278,751,144,805,11,785,1484,1583
"TN","Bedford",2035,2681,1984,18,1731,4,2581,813
"TN","Benton",1632,1392,1158,1567,946,1629,1441,171
"TN","Bledsoe",753,1267,482,1385,257,1329,448,1892
"TN","Blount",459,1459,488,1517,279,1534,2574,1565
"TN","Bradley",2731,1149,2739,1218,2512,1211,218,1600
"TN","Campbell",2245,2610,1638,2662,1436,2698,2291,1318
"TN","Cannon",1091,1301,810,1434,497,1439,934,2882
"TN","Carroll",1981,2366,1676,2479,1497,2481,139,1688
"TN","Carter",2293,550,2119,561,1896,546,975,2575
"TN","Cheatham",2190,2852,2098,79,1851,30,1463,664
"TN","Chester",936,1738,688,1851,545,1886,1608,159
"TN","Claiborne",1687,2333,1357,2445,1035,2544,2584,1629
"TN","Clay",579,604,258,618,38,689,690,2720
"TN","Cocke",1656,2669,1465,2725,1228,2678,2290,940
"TN","Coffee",2570,209,2418,344,2139,355,788,2873
"TN","Crockett",1062,1432,785,1666,576,1610,1850,485
"TN","Cumberland",2587,502,2548,666,2229,759,310,1678
"TN","Davidson",315,88,536,28,364,2826,1942,885
"TN","Decatur",952,1129,523,1358,289,1265,457,2688
"TN","DeKalb",1491,1596,1239,1688,886,1721,2572,1546
"TN","Dickson",2628,60,2490,186,2222,163,510,2018
"TN","Dyer",2042,2699,1807,2856,1581,2882,1842,367
"TN","Fayette",2139,2757,2366,241,2306,321,1204,21
"TN","Fentress",1005,1808,708,1896,495,2039,2075,338
"TN","Franklin",2522,2776,2316,55,2080,25,116,2252
"TN","Gibson",2614,63,2465,366,2283,343,1764,179
"TN","Giles",2037,2280,1873,2386,1582,2426,1952,429
"TN","Grainger",1116,1969,857,2034,575,2101,1255,2611
"TN","Greene",2493,596,2413,648,2219,674,165,2366
"TN","Grundy",1223,896,790,1100,559,1093,1710,773
"TN","Hamblen",2466,471,2350,535,1999,477,2687,1566
"TN","Hamilton",2150,2608,2286,2604,2143,2609,1675,599
"TN","Hancock",2513,692,2210,564,1880,529,2006,2597
"TN","Hardeman",2135,1914,2177,2016,2057,1943,1381,766
"TN","Hardin",1617,2261,1219,2424,1056,2590,1700,1957
"TN","Hawkins",2342,360,2182,460,1966,462,547,2615
"TN","Haywood",1791,1384,1945,1384,1824,1302,1478,642
"TN","Henderson",1494,2361,1329,2518,1083,2506,1545,1335
"TN","Henry",2151,2506,2022,2609,1762,2634,667,2632
"TN","Hickman",1763,1822,1546,1894,1173,1911,1306,2825
"TN","Houston",870,440,612,580,374,571,684,2164
"TN","Humphreys",1830,1441,1560,1613,1281,1626,2534,971
"TN","Jackson",1326,857,941,922,623,1035,779,1963
"TN","Jefferson",2086,189,2028,326,1738,359,144,1409
"TN","Johnson",668,1896,712,1861,441,1865,1474,516
"TN","Knox",2327,122,2394,146,2112,73,2677,2088
"TN","Lake",1146,879,26,194,2621,202,2157,79
"TN","Lauderdale",1824,1772,1781,1940,1678,1868,2055,412
"TN","Lawrence",2324,2882,2024,60,1743,87,1531,1944
"TN","Lewis",910,1251,694,1277,412,1373,1209,278
"TN","Lincoln",1847,2603,1585,2768,1419,2865,2564,1545
"TN","Loudon",2143,407,2213,558,1960,642,1077,51
"TN","McMinn",2184,226,2108,317,1835,349,1888,713
"TN","McNairy",1713,2202,1383,2435,1153,2447,1481,506
"TN","Macon",1203,1908,850,1991,492,2044,705,2594
"TN","Madison",581,933,817,986,694,949,85,2296
"TN","Marion",2098,2217,1839,2363,1655,2295,495,935
"TN","Marshall",1898,2209,1780,2366,1572,2407,1213,2568
"TN","Maury",230,686,311,843,175,882,1224,2642
"TN","Meigs",521,1100,379,1202,158,1206,5,1047
"TN","Monroe",2059,16,1998,169,1771,211,2528,1445
"TN","Montgomery",811,1278,1117,1315,1036,1325,1370,383
"TN","Moore",91,622,2674,825,2373,875,893,1412
"TN","Morgan",1289,1835,787,1883,611,1884,1893,1020
"TN","Obion",2099,2610,1777,2713,1429,2730,66,2100
"TN","Overton",1841,1684,1499,1821,1227,1914,1025,2829
"TN","Perry",507,509,338,569,2772,569,765,2257
"TN","Pickett",29,569,2637,694,2383,662,2098,960
"TN","Polk",1194,1681,884,1741,707,1713,1970,876
"TN","Putnam",57,540,2786,641,2473,676,260,2003
"TN","Rhea",1558,2499,1272,2582,1142,2576,2250,799
"TN","Roane",2641,450,2431,544,2178,488,764,2730
"TN","Robertson",2784,515,2731,698,2549,703,1870,600
"TN","Rutherford",1386,2065,1696,2208,1548,2254,2212,833
"TN","Scott",1360,1865,635,1939,416,2015,1532,2326
"TN","Sequatchie",796,1305,634,1534,445,1533,2620,2253
"TN","Sevier",2632,963,2648,1066,2419,1145,64,1810
"TN","Shelby",895,552,1106,443,989,392,2158,1265
"TN","Smith",1693,1618,1314,1844,1056,1832,831,177
"TN","Stewart",1264,1191,1060,1280,828,1303,594,2119
"TN","Sullivan",778,1792,711,1815,481,1799,230,1639
"TN","Sumner",882,1716,902,1819,709,1863,205,1846
"TN","Tipton",2457,420,2556,650,2368,614,681,1978
"TN","Trousdale",697,337,455,626,228,594,2057,663
"TN","Unicoi",1007,2007,877,1958,738,1992,2632,917
"TN","Union",1094,1764,706,1810,434,1774,265,2160
"TN","Van Buren",206,147,2627,311,2609,414,15,1983
"TN","Warren",2366,2537,2101,2667,1878,2612,1976,751
"TN","Washington",449,1320,544,1405,401,1427,1492,2830
"TN","Wayne",768,1707,363,1684,158,1762,308,1475
"TN","Weakley",2111,2601,1866,2709,1518,2697,2309,1987
"TN","White",1731,2080,1482,2231,1224,2279,1178,2770
"TN","Williamson",898,2196,1216,2316,1034,2401,702,2563
"TN","Wilson",474,1289,539,1491,427,1564,1329,2407
"TX","Anderson",1885,176,1878,208,1599,274,418,1664
"TX","Andrews",2357,1658,2550,1611,2492,1570,1433,355
"TX","Angelina",2718,776,2742,799,2479,865,2493,1661
"TX","Aransas",1153,2358,1322,2350,1177,2408,2372,959
"TX","Archer",2650,1547,2464,1527,2006,1558,1040,2574
"TX","Armstrong",592,2670,291,2666,2758,2649,1629,1617
"TX","Atascosa",1808,2555,1809,2070,1976,2519,2275,2803
"TX","Austin",1123,2631,1233,2698,942,2803,1821,2722
"TX","Bailey",2027,766,2353,586,1853,378,971,2848
"TX","Bandera",617,2428,960,2398,710,2509,1640,393
"TX","Bastrop",2775,345,177,393,2765,434,618,2640
"TX","Baylor",1882,194,1574,280,1163,350,70,626
"TX","Bee",1694,2119,1569,1812,1489,1800,744,294
"TX","Bell",1190,2061,1695,1937,1514,1970,1460,1897
"TX","Bexar",861,1156,1204,1052,1151,1047,1570,2023
"TX","Blanco",256,1445,448,1476,213,1571,1372,1060
"TX","Borden",2092,1341,1681,1382,1390,1415,251,1742
"TX","Bosque",671,2193,688,2150,346,2200,1330,1436
"TX","Bowie",188,939,88,1033,18,1085,284,2310
"TX","Brazoria",1277,2322,1570,2364,1481,2454,2552,1098
"TX","Brazos",534,1628,841,1584,629,1588,1745,2492
"TX","Brewster",612,829,789,733,644,833,965,1642
"TX","Briscoe",738,2293,840,2245,167,2175,716,905
"TX","Brooks",676,2701,649,2097,724,2002,2593,2294
"TX","Brown",1093,192,1234,225,735,234,760,2267
"TX","Burleson",957,1837,844,1842,595,1885,546,232
"TX","Burnet",1731,170,1868,227,1557,336,463,2062
"TX","Caldwell",1977,2330,2081,2233,1897,2237,1581,499
"TX","Calhoun",1112,1820,1191,1697,1079,1725,1825,2343
"TX","Callahan",78,1875,73,1853,2433,1809,869,1872
"TX","Cameron",1477,1518,1932,1145,1930,1090,2037,1933
"TX","Camp",640,1176,641,1203,399,1267,2090,1299
"TX","Carson",1936,1069,1706,1093,1288,1066,265,1401
"TX","Cass",1870,2516,1525,2626,1289,2721,1049,1162
"TX","Castro",2274,717,2425,542,2233,486,935,2796
"TX","Chambers",1305,2727,1406,2869,1215,222,1955,456
"TX","Cherokee",1814,155,1869,189,1650,279,1269,375
"TX","Childress",1990,589,1964,690,1391,632,1467,321
"TX","Clay",290,1693,92,1731,2417,1768,1066,742
"TX","Cochran",1078,2715,1243,2502,1102,2335,1970,1797
"TX","Coke",1166,352,1310,271,661,260,740,2403
"TX","Coleman",2518,1344,2287,1312,1784,1321,391,293
"TX","Collin",2386,681,98,729,5,822,1605,1390
"TX","Collingsworth",1497,56,1005,2801,645,2846,389,869
"TX","Colorado",892,2136,1081,2162,808,2236,426,2878
"TX","Comal",2700,1388,246,1510,139,1652,785,2309
"TX","Comanche",401,1651,345,1610,2629,1659,404,1829
"TX","Concho",1182,2773,1115,2587,754,2597,2427,1770
"TX","Cooke",1379,221,1348,207,933,236,453,2752
"TX","Coryell",1994,277,2318,177,1978,150,987,358
"TX","Cottle",875,2137,729,1983,667,2116,1913,255
"TX","Crane",1102,337,1407,134,1196,2874,2500,1934
"TX","Crockett",1902,280,2015,23,1900,2840,1284,64
"TX","Crosby",2256,602,2355,247,2246,166,1555,2874
"TX","Culberson",1581,1732,1951,1104,2090,1294,1829,211
"TX","Dallam",1348,470,1327,287,1088,299,1799,1245
"TX","Dallas",1463,1510,1756,1356,1684,1296,921,287
"TX","Dawson",113,1493,159,1254,15,1140,1808,1164
"TX","Deaf Smith",130,1761,257,1493,229,1337,2492,1172
"TX","Delta",2265,451,2169,555,1815,527,195,1286
"TX","Denton",2192,414,2714,489,2502,555,1654,763
"TX","DeWitt",532,2030,633,1921,426,2013,117,666
"TX","Dickens",1057,2648,1005,2462,882,2597,171,2128
"TX","Dimmit",1000,219,1176,2693,873,2546,287,2544
"TX","Donley",1501,431,1273,388,948,339,896,2867
"TX","Duval",1285,184,1446,85,1437,2864,740,259
"TX","Eastland",509,2072,280,1998,2749,2094,1186,354
"TX","Ector",2624,1220,2716,1126,2520,1040,2409,2244
"TX","Edwards",896,2526,1513,2359,987,2317,26,1103
"TX","Ellis",168,1507,493,1607,356,1656,1293,2526
"TX","El Paso",2744,2501,228,2248,120,2146,544,1826
"TX","Erath",1186,2829,1381,86,772,40,432,2112
"TX","Falls",1043,1505,942,1437,814,1458,888,149
"TX","Fannin",1679,2615,1515,2592,1065,2628,591,1482
"TX","Fayette",1235,2541,1323,2504,981,2621,872,2831
"TX","Fisher",2484,186,2360,95,1973,116,874,2729
"TX","Floyd",2080,862,2444,692,2065,526,1666,293
"TX","Foard",995,1511,792,1417,373,1497,1759,512
"TX","Fort Bend",2383,2804,2797,31,9,199,145,1630
"TX","Franklin",9,1409,40,1465,2431,1490,347,202
"TX","Freestone",840,2016,831,2006,699,2142,2215,1549
"TX","Frio",754,836,1028,597,1008,553,437,2242
"TX","Gaines",2226,1540,2298,1459,2028,1508,393,268
"TX","Galveston",1799,2271,1742,2252,1642,2415,2098,1655
"TX","Garza",1422,477,1603,367,1200,315,1801,2516
"TX","Gillespie",858,2797,1121,2820,826,36,929,257
"TX","Glasscock",1801,1956,2035,1959,1781,2045,953,61
"TX","Goliad",215,989,338,970,123,991,1443,2132
"TX","Gonzales",600,1807,912,1684,648,1750,2662,1163
"TX","Gray",276,2495,160,2394,2622,2321,512,1856
"TX","Grayson",335,1358,398,1360,64,1360,2274,2339
"TX","Gregg",222,1329,321,1263,226,1263,35,1522
"TX","Grimes",1187,2079,1183,2098,992,2265,173,1268
"TX","Guadalupe",25,1252,562,1349,503,1433,906,2453
"TX","Hale",845,2624,1186,2444,926,2319,689,1574
"TX","Hall",1723,2722,1425,2777,1155,2656,846,2314
"TX","Hamilton",2602,1273,2652,1240,2152,1288,558,2756
"TX","Hansford",1023,788,1023,728,516,718,1861,1346
"TX","Hardeman",1919,247,1593,218,1328,221,605,689
"TX","Hardin",2117,495,1662,609,1449,710,1049,238
"TX","Harris",1910,2214,2174,2137,2136,2197,1184,845
"TX","Harrison",2760,603,2686,642,2573,690,2289,2108
"TX","Hartley",1381,675,1077,643,688,658,2303,781
"TX","Haskell",2638,520,2385,397,2065,447,613,686
"TX","Hays",814,1204,1244,1285,1097,1390,1347,449
"TX","Hemphill",1117,389,908,359,743,352,1414,1455
"TX","Henderson",2611,852,2552,875,2195,907,676,500
"TX","Hidalgo",2260,2028,2701,1657,2757,1673,2027,1034
"TX","Hill",1582,2787,1624,2772,1192,2774,199,1935
"TX","Hockley",366,2279,688,2162,440,2121,1069,11
"TX","Hood",1937,587,2007,659,1613,747,263,2195
"TX","Hopkins",1489,2718,1535,2776,1209,2872,1655,938
"TX","Houston",1287,2215,1162,2172,931,2194,1055,96
"TX","Howard",1167,2532,1098,2414,41,1689,786,2284
"TX","Hudspeth",1336,2200,1776,1848,1595,1898,649,2372
"TX","Hunt",2539,842,2645,858,2302,894,1389,1985
"TX","Hutchinson",455,2605,331,2468,41,2399,2161,1051
